66
           1        0      7.5
           2    0.001      7.5
           3    0.002      7.1
           4    0.003      6.7
           5    0.005      6.1
           6    0.007      5.4
           7   0.0085     5.05
           8     0.01      4.6
           9    0.015     3.75
          10     0.02     3.25
          11     0.03      2.5
          12     0.04     2.05
          13     0.05     1.73
          14     0.07     1.13
          15      0.1     0.59
          16     0.12      0.4
          17     0.15     0.23
          18     0.17     0.16
          19      0.2    0.103
          20     0.25    0.091
          21      0.3    0.153
          22     0.35    0.235
          23      0.4     0.33
          24      0.5     0.51
          25      0.7     0.86
          26        1     1.38
          27      1.2     1.66
          28      1.3     1.82
          29      1.5      2.1
          30      1.7      2.3
          31      1.9      2.5
          32      2.1      2.8
          33      2.2      2.9
          34      2.5      3.3
          35      2.8      3.8
          36        3      4.1
          37      3.3      4.5
          38      3.6      4.9
          39        4      5.4
          40      4.5      6.1
          41        5      6.7
          42        6      8.1
          43        7      9.6
          44        8     11.7
          45       10       15
          46       12     14.5
          47       15     13.7
          48       17       11
          49       20      9.2
          50       25      6.8
          51       30      5.5
          52       50      3.2
          53       75     2.15
          54      100      1.6
          55      150      1.1
          56      200     0.88
          57      300      0.6
          58      500     0.37
          59      700     0.26
          60     1000     0.17
          61     1500    0.098
          62     2000    0.066
          63     3000    0.035
          64     5000    0.015
          65     7000   0.0088
          66    10000   0.0049
